,Longitude,Latitude,datetime,Bounds,UHI Index
0,-73.90916667,40.81310667,2021-07-24 15:53:00,"(-73.94081456016147, 40.698650845326, -73.87745799933576, 40.92712480907667)",1.030288903
1,-73.90918667,40.813045,2021-07-24 15:53:00,"(-73.94083456006214, 40.698589036607785, -73.87747799935576, 40.92706327669209)",1.030288903
2,-73.909215,40.81297833,2021-07-24 15:53:00,"(-73.94086288992149, 40.698522170112824, -73.87750632938412, 40.92699680162492)",1.023797758
3,-73.90924167,40.81290833,2021-07-24 15:53:00,"(-73.94088955978907, 40.698451985130866, -73.8775329994108, 40.92692698513627)",1.023797758
4,-73.90925667,40.812845,2021-07-24 15:53:00,"(-73.94090455971458, 40.698388551091256, -73.87754799942581, 40.926863758348766)",1.021634043
5,-73.90928,40.81277667,2021-07-24 15:53:00,"(-73.94092788959874, 40.69832005927457, -73.87757132944915, 40.926795588879)",1.021634043
6,-73.90931167,40.81271,2021-07-24 15:53:00,"(-73.9409595594415, 40.698253169610965, -73.87760299948084, 40.926729136796276)",1.015142899
7,-73.90934,40.81264333,2021-07-24 15:53:00,"(-73.94098788930083, 40.69818630311291, -73.87763132950919, 40.92666266173217)",1.015142899
8,-73.90936333,40.81256167,2021-07-24 15:53:00,"(-73.94101121918499, 40.69810448129452, -73.87765465953254, 40.926581162264085)",1.012979184
9,-73.90938333,40.812485,2021-07-24 15:53:00,"(-73.94103121908569, 40.69802767257286, -73.87767465955255, 40.926504629882906)",1.012979184
10,-73.90939333,40.81240333,2021-07-24 15:53:00,"(-73.94104121903604, 40.697945933211905, -73.87768465956256, 40.92642302869245)",1.010815469
11,-73.90942,40.81233,2021-07-24 15:53:00,"(-73.9410678889036, 40.69787241822578, -73.87771132958923, 40.92634988220791)",1.010815469
12,-73.90945333,40.81223667,2021-07-24 15:53:00,"(-73.94110121873813, 40.69777885704426, -73.87774465962259, 40.92625678155149)",1.010815469
13,-73.90947667,40.81216333,2021-07-24 15:53:00,"(-73.94112455862223, 40.697705355154206, -73.87776799964595, 40.9261836021545)",1.010815469
14,-73.90949333,40.81209333,2021-07-24 15:53:00,"(-73.94114121853951, 40.69763523959743, -73.87778465966262, 40.92611371679259)",1.010815469
15,-73.90952167,40.81203167,2021-07-24 15:53:00,"(-73.9411695583988, 40.6975733830255, -73.87781299969097, 40.92605225180176)",1.010815469
16,-73.90953,40.81198167,2021-07-24 15:53:00,"(-73.94117788835743, 40.69752332524681, -73.87782132969932, 40.926002309121095)",1.010815469
17,-73.90954833,40.81194,2021-07-24 15:54:00,"(-73.94119621826643, 40.69748152810575, -73.87783965971765, 40.925960765251375)",1.010815469
18,-73.90956333,40.8119,2021-07-24 15:54:00,"(-73.94121121819194, 40.6974414240621, -73.87785465973265, 40.925920868467855)",1.010815469
19,-73.90958167,40.81186333,2021-07-24 15:54:00,"(-73.94122955810087, 40.69740462685113, -73.87787299975099, 40.92588432466748)",1.010815469
20,-73.9096,40.81181167,2021-07-24 15:54:00,"(-73.94124788800987, 40.697352839709225, -73.87789132976934, 40.925832790798566)",1.012979184
21,-73.909615,40.81175333,2021-07-24 15:54:00,"(-73.9412628879354, 40.6972943956649, -73.87790632978435, 40.92577455401573)",1.012979184
22,-73.90963167,40.8117,2021-07-24 15:54:00,"(-73.94127955785262, 40.69724095003674, -73.87792299980103, 40.92572133872463)",1.012979184
23,-73.90964667,40.81164333,2021-07-24 15:54:00,"(-73.94129455777814, 40.697184175992, -73.87793799981604, 40.92566477194219)",1.012979184
24,-73.90966167,40.81157833,2021-07-24 15:54:00,"(-73.94130955770366, 40.697119071947064, -73.87795299983105, 40.92559987515996)",1.012979184
25,-73.909675,40.81151,2021-07-24 15:54:00,"(-73.94132288763747, 40.69705064948562, -73.87796632984438, 40.9255316368863)",1.012979184
26,-73.90969333,40.81144167,2021-07-24 15:54:00,"(-73.94134121754645, 40.69698219234222, -73.87798465986272, 40.92546343301888)",1.012979184
27,-73.909705,40.81137667,2021-07-24 15:54:00,"(-73.94135288748852, 40.6969171113948, -73.8779963298744, 40.925398513322754)",1.012979184
28,-73.90971333,40.81132,2021-07-24 15:54:00,"(-73.94136121744715, 40.696860383614776, -73.87800465988273, 40.92534190064342)",1.012979184
29,-73.909745,40.81123,2021-07-24 15:54:00,"(-73.94139288728991, 40.69677016393914, -73.87803632991442, 40.92525211857257)",1.012979184
30,-73.909755,40.81120333,2021-07-24 15:54:00,"(-73.94140288724026, 40.696743424575004, -73.87804632992443, 40.92522551738524)",1.012979184
31,-73.90977,40.81116167,2021-07-24 15:54:00,"(-73.94141788716577, 40.69670166052864, -73.87806132993943, 40.925183960604414)",1.015142899
32,-73.90978667,40.81111833,2021-07-24 15:54:00,"(-73.941434557083, 40.69665820489822, -73.8780779999561, 40.925140735315544)",1.015263105
33,-73.90980833,40.81106,2021-07-24 15:54:00,"(-73.94145621697545, 40.696599724654604, -73.87809965997778, 40.925082554364685)",1.015263105
34,-73.909875,40.810865,2021-07-24 15:54:00,"(-73.9415228866444, 40.69640426219858, -73.87816633004448, 40.92488801314405)",1.019590535
35,-73.9099,40.81081,2021-07-24 15:54:00,"(-73.94154788652028, 40.696349088785226, -73.87819133006948, 40.9248331851787)",1.019590535
36,-73.90992833,40.81075333,2021-07-24 15:54:00,"(-73.94157621637962, 40.69629222227256, -73.87821966009783, 40.924776710129024)",1.02175425
37,-73.909965,40.810705,2021-07-24 15:54:00,"(-73.94161288619753, 40.69624363790797, -73.87825633013452, 40.924728632471336)",1.02175425
38,-73.90995167,40.81062833,2021-07-24 15:54:00,"(-73.94159955626372, 40.69616706037279, -73.87824300012117, 40.924651870741656)",1.023917965
39,-73.90991333,40.8106,2021-07-24 15:54:00,"(-73.94156121645409, 40.696138996321004, -73.87820466008282, 40.92462327690781)",1.02175425
40,-73.90974333,40.810515,2021-07-24 15:54:00,"(-73.94139121729819, 40.69605517552295, -73.87803465991274, 40.92453710708086)",1.02175425
41,-73.90966667,40.810495,2021-07-24 15:54:00,"(-73.94131455767882, 40.69603570726537, -73.87795799983604, 40.92451657956593)",1.019590535
42,-73.90959167,40.81047333,2021-07-24 15:54:00,"(-73.94123955805122, 40.696014557488425, -73.87788299976101, 40.92449439347874)",1.019590535
43,-73.90951833,40.810445,2021-07-24 15:54:00,"(-73.94116621841538, 40.69598673619245, -73.87780965968763, 40.92446555881898)",1.019590535
44,-73.90944,40.81042333,2021-07-24 15:54:00,"(-73.9410878888043, 40.69596560950312, -73.87773132960926, 40.9244433498277)",1.019590535
